78,96173,-14,26,-1,0,436,182,-630,254,812,-1066,0,0,0
79,97422,-18,21,6,0,224,406,-634,-182,1040,-858,0,0,0
80,98671,-18,13,14,0,-17,569,-541,-586,1110,-524,0,0,0
81,99920,-15,5,19,0,-263,644,-373,-907,1017,-110,0,0,0
82,101169,-9,-3,23,0,-468,615,-146,-1083,761,322,0,0,0
83,102418,-1,-12,24,0,-605,494,101,-1099,393,706,0,0,0
84,103667,5,-16,20,0,-645,303,338,-948,-35,983,0,0,0
85,104916,14,-19,14,0,-583,67,523,-650,-456,1106,0,0,0
86,106165,21,-18,7,0,-437,-183,629,-254,-812,1066,0,0,0
87,107414,23,-13,0,0,-225,-407,634,182,-1041,859,0,0,0
88,108663,24,-5,-8,0,16,-571,540,587,-1111,524,0,0,0
89,109912,22,2,-14,0,262,-645,372,907,-1017,110,0,0,0
90,111161,15,11,-17,0,467,-616,145,1083,-761,-322,0,0,0
91,112410,7,19,-18,0,603,-495,-102,1098,-393,-705,0,0,0
92,113659,0,24,-14,0,644,-304,-339,948,35,-983,0,0,0
93,114908,-8,26,-8,1,581,-68,-524,649,456,-1105,0,0,0
94,116157,-15,26,-1,0,436,182,-631,254,813,-1067,0,0,0
95,117406,-17,21,6,0,224,406,-635,-182,1041,-859,0,0,0
96,118655,-18,13,14,0,-17,569,-541,-586,1110,-524,0,0,0
97,119904,-15,5,20,0,-263,644,-373,-907,1017,-110,0,0,0
98,121153,-9,-3,23,0,-468,615,-146,-1083,761,322,0,0,0
99,122402,-1,-12,23,0,-605,494,101,-1099,393,706,0,0,0
100,123651,6,-16,20,0,-645,303,338,-948,-35,983,0,0,0
101,124900,14,-19,14,0,-583,68,523,-651,-455,1106,0,0,0
102,126149,21,-18,7,0,-437,-183,629,-254,-812,1066,0,0,0
103,127398,23,-13,0,0,-225,-407,634,182,-1041,859,0,0,0
104,128647,24,-5,-8,0,16,-571,540,587,-1111,524,0,0,0
105,129896,21,2,-14,0,262,-645,372,907,-1017,110,0,0,0
106,131145,15,11,-17,0,467,-616,145,1083,-761,-322,0,0,0
107,132394,7,19,-18,0,603,-495,-101,1098,-394,-704,0,0,0
108,133643,0,24,-14,1,644,-304,-339,948,35,-983,0,0,0
109,134892,-8,26,-8,0,581,-69,-524,650,455,-1105,0,0,0
110,136141,-15,25,-1,1,436,182,-631,254,813,-1067,0,0,0
111,137390,-17,21,6,0,224,405,-635,-181,1040,-859,0,0,0
112,138639,-18,13,14,0,-17,569,-541,-586,1110,-524,0,0,0
113,139888,-15,5,20,0,-263,644,-373,-907,1017,-110,0,0,0
114,141137,-9,-3,23,0,-468,615,-146,-1083,761,322,0,0,0
115,142386,-1,-12,23,0,-604,494,100,-1098,394,704,0,0,0
116,143635,6,-16,20,0,-645,303,338,-948,-35,983,0,0,0
117,144884,14,-18,14,0,-583,68,523,-651,-455,1106,0,0,0
118,146133,21,-18,7,0,-437,-183,629,-254,-812,1066,0,0,0
119,147382,24,-13,0,0,-226,-407,634,181,-1041,860,0,0,0
120,148631,24,-5,-8,0,16,-571,540,587,-1111,524,0,0,0
121,149880,21,2,-14,0,262,-645,372,907,-1017,110,0,0,0
122,151129,15,11,-17,0,466,-616,145,1082,-761,-321,0,0,0
123,152378,7,19,-18,0,603,-495,-101,1098,-394,-704,0,0,0
124,153627,0,24,-14,1,644,-304,-339,948,35,-983,0,0,0
125,154876,-8,26,-8,0,582,-69,-524,651,455,-1106,0,0,0
126,156125,-15,25,-1,1,436,182,-631,254,813,-1067,0,0,0
127,157374,-17,20,6,0,224,405,-635,-181,1040,-859,0,0,0
128,158623,-18,13,14,0,-17,569,-542,-586,1111,-525,0,0,0
129,159872,-15,5,20,0,-263,644,-373,-907,1017,-110,0,0,0
130,161121,-9,-4,23,0,-468,614,-146,-1082,760,322,0,0,0
131,162370,-1,-12,23,0,-605,494,100,-1099,394,705,0,0,0
132,163619,5,-16,20,0,-645,303,338,-948,-35,983,0,0,0
133,164868,14,-18,14,0,-583,68,523,-651,-455,1106,0,0,0
134,166117,21,-18,7,0,-437,-183,629,-254,-812,1066,0,0,0
135,167366,24,-13,0,0,-226,-407,634,181,-1041,860,0,0,0
136,168615,24,-5,-8,0,16,-571,541,587,-1112,525,0,0,0
137,169864,21,2,-14,0,262,-645,372,907,-1017,110,0,0,0
138,171113,15,11,-17,0,466,-616,145,1082,-761,-321,0,0,0
139,172362,7,19,-18,0,603,-495,-101,1098,-394,-704,0,0,0
140,173611,0,23,-14,0,644,-305,-339,949,34,-983,0,0,0
141,174860,-8,26,-8,0,582,-69,-524,651,455,-1106,0,0,0
142,176109,-14,25,-1,0,436,182,-631,254,813,-1067,0,0,0
143,177358,-17,21,6,0,224,405,-635,-181,1040,-859,0,0,0
144,178607,-18,13,14,0,-17,569,-542,-586,1111,-525,0,0,0
145,179856,-15,5,20,0,-263,644,-373,-907,1017,-110,0,0,0
146,181105,-9,-3,23,0,-467,615,-146,-1082,761,321,0,0,0
147,182354,-1,-12,23,0,-604,494,100,-1098,394,704,0,0,0
148,183603,5,-16,20,0,-645,303,338,-948,-35,983,0,0,0
149,184852,14,-18,14,0,-583,68,523,-651,-455,1106,0,0,0
150,186101,21,-18,7,0,-437,-183,629,-254,-812,1066,0,0,0
151,187350,23,-13,0,0,-226,-407,634,181,-1041,860,0,0,0
152,188599,24,-5,-8,0,16,-570,540,586,-1110,524,0,0,0
153,189848,21,2,-14,0,262,-645,372,907,-1017,110,0,0,0
154,191097,16,11,-17,0,466,-616,145,1082,-761,-321,0,0,0
155,192346,7,19,-18,0,603,-495,-101,1098,-394,-704,0,0,0
156,193595,0,24,-14,0,644,-305,-339,949,34,-983,0,0,0
157,194844,-8,26,-8,0,582,-69,-524,651,455,-1106,0,0,0
158,196093,-15,25,-1,0,436,182,-630,254,812,-1066,0,0,0
159,197342,-17,21,6,0,225,405,-635,-180,1040,-860,0,0,0
160,198591,-18,13,14,0,-17,569,-541,-586,1110,-524,0,0,0
161,199840,-15,4,20,0,-263,644,-373,-907,1017,-110,0,0,0
162,201089,-9,-3,23,0,-467,615,-146,-1082,761,321,0,0,0
163,202338,-1,-12,23,0,-604,494,100,-1098,394,704,0,0,0
164,203587,5,-16,20,0,-645,303,337,-948,-34,982,0,0,0
165,204836,14,-18,14,0,-583,68,523,-651,-455,1106,0,0,0
166,206085,21,-18,7,0,-437,-183,629,-254,-812,1066,0,0,0
167,207334,24,-13,0,0,-226,-406,634,180,-1040,860,0,0,0
168,208583,24,-5,-8,0,16,-570,540,586,-1110,524,0,0,0
169,209832,21,2,-14,0,261,-645,372,906,-1017,111,0,0,0
170,211081,15,11,-17,0,466,-616,145,1082,-761,-321,0,0,0
171,212330,8,19,-17,0,603,-495,-101,1098,-394,-704,0,0,0
172,213579,0,24,-14,1,644,-305,-338,949,33,-982,0,0,0
173,214828,-8,26,-8,0,582,-69,-524,651,455,-1106,0,0,0
174,216077,-15,25,-1,0,436,182,-630,254,812,-1066,0,0,0
175,217326,-17,21,6,0,225,405,-635,-180,1040,-860,0,0,0
176,218575,-18,13,14,0,-17,569,-542,-586,1111,-525,0,0,0
177,219824,-15,5,20,0,-263,644,-373,-907,1017,-110,0,0,0
178,221073,-9,-3,23,0,-467,615,-147,-1082,762,320,0,0,0
179,222322,-1,-12,23,0,-604,494,100,-1098,394,704,0,0,0
180,223571,5,-16,20,0,-645,303,337,-948,-34,982,0,0,0
181,224820,14,-18,14,0,-583,68,523,-651,-455,1106,0,0,0
