0000000001,0000000000,002752,-87996,085145,-16403,012127,002895,0,0
0000000002,0000000200,008606,-90804,081680,-16581,011187,003225,0,0
0000000003,0000000400,014427,-93257,077897,-16693,010195,003545,0,0
0000000004,0000000600,020194,-95339,073807,-16748,009160,003857,0,0
0000000005,0000000800,025878,-97044,069422,-16739,008086,004156,0,0
0000000006,0000001000,031463,-98369,064768,-16666,006975,004445,0,0
0000000007,0000001200,036923,-99306,059855,-16535,005831,004720,0,0
0000000008,0000001400,042236,-99849,054706,-16339,004662,004983,0,0
0000000009,0000001600,047384,-99999,049341,-16086,003469,005230,0,0
0000000010,0000001800,052347,-99754,043781,-15772,002260,005462,0,0
0000000011,0000002000,057101,-99113,038050,-15402,001037,005675,0,0
0000000012,0000002200,061633,-98085,032169,-14972,-00192,005871,0,0
0000000013,0000002400,065921,-96669,026160,-14490,-01428,006048,0,0
0000000014,0000002600,069946,-94868,020048,-13953,-02661,006206,0,0
0000000015,0000002800,073700,-92696,013856,-13364,-03888,006347,0,0
0000000016,0000003000,077161,-90159,007609,-12729,-05103,006466,0,0
0000000017,0000003200,080316,-87263,001334,-12049,-06305,006563,0,0
0000000018,0000003400,083158,-84025,-04948,-11322,-07483,006640,0,0
0000000019,0000003600,085672,-80455,-11211,-10556,-08637,006695,0,0
0000000020,0000003800,087845,-76567,-17427,-09751,-09760,006728,0,0
0000000021,0000004000,089676,-72377,-23576,-08914,-10849,006740,0,0
0000000022,0000004200,091150,-67900,-29631,-08045,-11899,006728,0,0
0000000023,0000004400,092264,-63157,-35573,-07147,-12906,006698,0,0
0000000024,0000004600,093018,-58164,-41371,-06226,-13867,006643,0,0
0000000025,0000004800,093403,-52940,-47005,-05286,-14777,006566,0,0
0000000026,0000005000,093421,-47511,-52455,-04327,-15631,006469,0,0
0000000027,0000005200,093067,-41889,-57698,-03357,-16431,006353,0,0
0000000028,0000005400,092350,-36106,-62712,-02374,-17169,006212,0,0
0000000029,0000005600,091266,-30179,-67482,-01389,-17844,006057,0,0
0000000030,0000005800,089826,-24134,-71983,-00403,-18451,005880,0,0
0000000031,0000006000,088028,-17993,-76201,000582,-18988,005685,0,0
0000000032,0000006200,085886,-11780,-80116,001558,-19458,005471,0,0
0000000033,0000006400,083402,-05521,-83717,002526,-19852,005239,0,0
0000000034,0000006600,080591,000759,-86986,003481,-20172,004992,0,0
0000000035,0000006800,077463,007036,-89912,004415,-20420,004732,0,0
