0000000001,0000000000,002851,-87996,085148,-04227,000542,003423,0,0
0000000002,0000000200,009127,-90804,081683,-04285,000301,003719,0,0
0000000003,0000000400,015362,-93257,077900,-04321,000051,004012,0,0
0000000004,0000000600,021541,-95339,073809,-04340,-00211,004293,0,0
0000000005,0000000800,027631,-97044,069425,-04337,-00482,004565,0,0
0000000006,0000001000,033613,-98369,064771,-04312,-00766,004827,0,0
0000000007,0000001200,039463,-99306,059857,-04269,-01056,005077,0,0
0000000008,0000001400,045157,-99849,054709,-04208,-01352,005315,0,0
0000000009,0000001600,050672,-99999,049344,-04126,-01654,005541,0,0
0000000010,0000001800,055988,-99754,043783,-04022,-01962,005749,0,0
0000000011,0000002000,061085,-99113,038052,-03903,-02274,005944,0,0
0000000012,0000002200,065937,-98085,032171,-03763,-02585,006121,0,0
0000000013,0000002400,070530,-96669,026162,-03607,-02899,006283,0,0
0000000014,0000002600,074845,-94868,020049,-03433,-03211,006429,0,0
0000000015,0000002800,078867,-92696,013857,-03241,-03525,006554,0,0
0000000016,0000003000,082575,-90159,007610,-03037,-03833,006661,0,0
0000000017,0000003200,085956,-87263,001336,-02814,-04135,006750,0,0
0000000018,0000003400,089002,-84025,-04947,-02579,-04434,006820,0,0
0000000019,0000003600,091694,-80455,-11209,-02332,-04727,006869,0,0
0000000020,0000003800,094022,-76567,-17426,-02069,-05014,006899,0,0
0000000021,0000004000,095981,-72377,-23575,-01798,-05289,006911,0,0
0000000022,0000004200,097562,-67900,-29630,-01517,-05557,006899,0,0
0000000023,0000004400,098758,-63157,-35572,-01227,-05814,006872,0,0
0000000024,0000004600,099564,-58164,-41370,-00928,-06055,006823,0,0
0000000025,0000004800,099976,-52940,-47004,-00623,-06287,006753,0,0
0000000026,0000005000,099994,-47511,-52454,-00311,-06503,006664,0,0
0000000027,0000005200,099619,-41889,-57697,000002,-06708,006557,0,0
0000000028,0000005400,098847,-36106,-62712,000322,-06894,006432,0,0
0000000029,0000005600,097687,-30179,-67482,000640,-07065,006289,0,0
0000000030,0000005800,096143,-24134,-71983,000960,-07221,006130,0,0
0000000031,0000006000,094217,-17993,-76201,001281,-07358,005953,0,0
0000000032,0000006200,091923,-11780,-80116,001598,-07474,005758,0,0
0000000033,0000006400,089261,-05521,-83717,001912,-07575,005550,0,0
0000000034,0000006600,086249,000759,-86986,002221,-07657,005324,0,0
0000000035,0000006800,082898,007036,-89912,002523,-07721,005089,0,0
0000000036,0000007000,079218,013287,-92485,002822,-07764,004839,0,0
0000000037,0000007200,075226,019482,-94691,003109,-07785,004577,0,0
0000000038,0000007400,070939,025604,-96526,003387,-07788,004305,0,0
0000000039,0000007600,066370,031622,-97978,003655,-07773,004021,0,0
0000000040,0000007800,061539,037518,-99043,003914,-07739,003731,0,0
0000000041,0000008000,056464,043264,-99718,004159,-07681,003435,0,0
0000000042,0000008200,051169,048840,-99999,004391,-07608,003130,0,0
0000000043,0000008400,045670,054220,-99886,004607,-07517,002822,0,0
0000000044,0000008600,039991,059390,-99376,004809,-07404,002511,0,0
0000000045,0000008800,034156,064325,-98479,004995,-07272,002193,0,0
0000000046,0000009000,028184,069006,-97188,005163,-07126,001879,0,0
0000000047,0000009200,022101,073413,-95515,005315,-06961,001562,0,0
0000000048,0000009400,015931,077533,-93468,005450,-06778,001247,0,0
0000000049,0000009600,009699,081345,-91051,005562,-06583,000933,0,0
0000000050,0000009800,003428,084836,-88273,005660,-06369,000625,0,0
0000000051,0000010000,-02855,087995,-85148,005736,-06143,000319,0,0
0000000052,0000010200,-09129,090802,-81685,005794,-05905,000023,0,0
0000000053,0000010400,-15367,093256,-77900,005831,-05655,-00269,0,0
0000000054,0000010600,-21544,095337,-73811,005849,-05393,-00549,0,0
0000000055,0000010800,-27635,097043,-69426,005846,-05118,-00821,0,0
0000000056,0000011000,-33617,098368,-64772,005822,-04837,-01083,0,0
0000000057,0000011200,-39467,099305,-59858,005779,-04547,-01334,0,0
0000000058,0000011400,-45161,099848,-54710,005715,-04248,-01572,0,0
0000000059,0000011600,-50676,099997,-49345,005633,-03946,-01798,0,0
0000000060,0000011800,-55992,099753,-43784,005532,-03641,-02005,0,0
0000000061,0000012000,-61089,099112,-38053,005413,-03330,-02200,0,0
0000000062,0000012200,-65941,098084,-32172,005273,-03015,-02377,0,0
0000000063,0000012400,-70534,096668,-26163,005117,-02704,-02539,0,0
0000000064,0000012600,-74849,094867,-20050,004943,-02390,-02686,0,0
0000000065,0000012800,-78871,092694,-13858,004751,-02078,-02811,0,0
0000000066,0000013000,-82579,090158,-07611,004546,-01770,-02918,0,0
